Point;census2018
  м. Старокостянтинів;34829
  м. Шепетівка;42062
  Білогірський (Хмельницька) район;26278
  Віньковецький район;23731
  Волочиський район;50382
  Городоцький (Хмельницька) район;47008
  Деражнянський район;31339
  Дунаєвецький район;61252
  Ізяславський район;43355
  Кам'янець-Подільський район;64746
  Красилівський район;50840
  Летичівський район;27355
  Новоушицький район;27915
  Полонський район;43649
  Славутський район;28756
  Старокостянтинівський район;28123
  Старосинявський район;19875
  Теофіпольський район;26394
  Хмельницький район;53409
  Чемеровецький район;40055
  Шепетівський район;32839
  Ярмолинецький район;28981
Черкаська область;1220363
 Міське населення;690072
 Сільське населення;530291
  Черкаси (міськрада);278830
  Ватутіне (міськрада);17167
  Золотоноша (міськрада);28808
  м. Канів;24152
  Сміла (міськрада);68142
  м. Умань;83977
  Городищенський район;39745
  Драбівський район;34332
  Жашківський район;36484
  Звенигородський район;43615
  Золотоніський район;40640
  Кам'янський район;26710
  Канівський район;19050
  Катеринопільський район;23779
  Корсунь-Шевченківський район;41927
  Лисянський район;23065
  Маньківський район;27035
  Монастирищенський район;35783
  Смілянський район;32035
  Тальнівський район;33209
  Уманський район;43058
  Христинівський район;34461
  Черкаський район;75033
  Чигиринський район;26406
  Чорнобаївський район;40546
  Шполянський район;42374
Чернівецька область;906701
 Міське населення;390443
 Сільське населення;516258
  м. Чернівці;265682
  м. Новодністровськ;10813
  Вижницький район;55538
  Герцаївський район;33219
  Глибоцький район;74201
  Заставнівський район;49225
  Кельменецький район;40179
  Кіцманський район;68729
  Новоселицький район;77577
  Путильський район;26365
  Сокирянський район;42617
  Сторожинецький район;100788
  Хотинський район;61768
Чернігівська область;1020078
 Міське населення;662428
 Сільське населення;357650
  м. Чернігів;289399
  м. Ніжин;70046
 Новгород-Сіверський (міськрада);13289
  м. Прилуки;55215
  Бахмацький район;43990
  Бобровицький район;32438
  Борзнянський район;30780
  Варвинський район;15760
  Городнянський район;27861
  Ічнянський район;30703
  Козелецький район;44236
  Коропський район;22561
  Корюківський район;26395
  Куликівський район;16470
  Менський район;35249
  Ніжинський район;26830
  Новгород-Сіверський район;12989
  Носівський район;28682
  Прилуцький район;35354
  Ріпкинський район;26770
  Семенівський район;17515
  Сосницький район;18112
  Срібнянський район;11154
  Талалаївський район;12612
  Сновський район;23165
  Чернігівський (Чернігівська) район;52503
Республіка Крим;1
  Чорноморський район;1
  Совєтський район;1
  Сімферопольський район;1
  Сакський район;1
  Роздольненський район;1
  Первомайський (АРК) район;1
  Нижньогірський район;1
  Красногвардійський район;1
  Кіровський район;1
  Джанкойський район;1
  Білогірський (Крим) район;1
  Бахчисарайський район;1
  Ленінський район;1
  Феодосія (МР) район;1
  Ялта (МР) район;1
  Красноперекопський район;1
  Судак (МР) район;1
  Алушта (МР) район;1
м. Київ ;2936837
